city,latitude,longitude
ELIZABETH ISLAND,44.46923,-75.62134
ELIZABETH ISLAND,43.49368,-73.63567
ELIZABETH SETON COLLEGE,40.97288,-73.88458
ELIZABETH STREET SCHOOL,43.1609,-76.33215
LAKE ELIZABETH,41.36537,-73.93622
LAKE ELIZABETH,42.76814,-73.44011
LAKE ELIZABETH,43.13618,-73.75623
ELIZABETHTOWN,44.21616,-73.59097
ELIZABETHTOWN,42.96618,-75.07905
TOWN OF ELIZABETHTOWN,44.1732,-73.61616
ELIZAVILLE,42.05092,-73.79374
ELK BROOK,41.97425,-75.05489
ELK BUSHKILL,42.05398,-74.45765
ELIJAH LAKE,44.10072,-75.23418
ELK CREEK,42.27479,-78.66975
ELK CREEK,42.29842,-74.89433
ELK CREEK,42.19342,-74.47765
ELK CREEK,42.59147,-74.82349
ELK CREEK,42.54424,-74.84182
ELK CREEK,42.07174,-77.29803
ELK CREEK CEMETERY,42.19287,-74.4746
ELK LAKE,44.0328,-73.83201
ELK LAKE MARCY TRAIL,44.05978,-73.89125
ELK PASS,44.09672,-73.82486
ELK POND,43.96788,-74.56649
ELKA PARK,42.15926,-74.15736
ELKDALE,42.21506,-78.75364
ELKINS BROOK,42.13089,-79.09615
ELK CREEK CEMETERY,42.04257,-77.32415
ELKS MEMORIAL PARK,41.38009,-74.69239
ELLENBURG,44.89393,-73.83654
ELLENBURG CENTER,44.86476,-73.89709
ELLENBURG DEPOT,44.90587,-73.80098
ELLENBURG MOUNTAIN,44.78337,-73.84237
TOWN OF ELLENBURG,44.83932,-73.88459
ELLENVILLE,41.71704,-74.39571
ELLENVILLE ELEMENTARY SCHOOL,41.7171,-74.38693
ELLERS SCHOOL (HISTORICAL),42.85785,-74.02679
ELLERSLIE,41.89426,-73.94291
ELLERY CENTER,42.18284,-79.34699
TOWN OF ELLERY,42.19206,-79.35521
ELLICOTT,42.7345,-78.73142
ELLICOTT CREEK,43.02117,-78.87698
ELKS CAMP,41.69815,-73.76708
TOWN OF ELLICOTT,42.13295,-79.23603
ELLICOTTVILLE,42.27506,-78.67281
TOWN OF ELLICOTTVILLE,42.31664,-78.63723
ELLINGTON,42.21673,-79.10782
TOWN OF ELLINGTON,42.21699,-79.1194
ELLIOT CEMETERY,42.25896,-75.76325
ELLIOT HILL,42.68063,-74.67153
ELLIOTT HOMESTEAD LANDING STRIP,42.24175,-74.69904
ELLIOTT PARK,42.21509,-73.87457
ELLIS,42.42535,-76.38133
ELLIS BROOK,44.31645,-74.6599
ELLICOTT CREEK PARK,43.02284,-78.83309
ELLIS BROOK,42.04091,-76.44522
ELLIS CEMETERY,41.41509,-73.65152
ELLIS CEMETERY,42.57174,-74.43125
ELLIS CEMETERY,44.72339,-74.9552
ELLIS CREEK,42.00507,-76.47105
ELLIS HOLLOW CEMETERY,42.42341,-76.37938
ELLIS HOSPITAL,42.82003,-73.91718
ELLIS ISLAND NATIONAL MONUMENT (HISTORICAL),40.69927,-74.03931
ELLIS LAKE,42.47031,-75.87413
ELLIS MOUNTAIN,44.57143,-73.80542
ELLIS MOUNTAIN,44.40505,-73.6318
ELLIS MOUNTAIN,43.78312,-73.57901
ELLIS POINT,42.78535,-76.71662
ELLIS POND,41.68276,-73.54715
ELLISBURG,43.73285,-76.13604
TOWN OF ELLISBURG,43.74374,-76.12048
ELLISON CEMETERY,42.42841,-74.40487
ELLISON PARK,43.14978,-77.51583
ELLISTOWN,42.00869,-76.47744
ELLWOOD PARK,42.97284,-78.84754
ELLWOOD PARK,42.97561,-78.85309
ELM BEACH,42.70118,-76.74467
ELM CREEK,42.50423,-78.15751
ELM CREEK,42.15534,-78.96615
ELLIS CEMETERY,42.4573,-74.29625
ELM CREEK,44.50145,-75.23771
ELM FLAT,44.4009,-75.00464
ELM FLATS,44.16783,-76.05049
ELM FLATS CHURCH,42.30978,-79.49282
ELM GROVE,42.55535,-75.22545
ELM HILL,43.87895,-74.07598
ELM HOLLOW,41.92481,-74.83544
ELM FLATS,43.29812,-75.08822
ELM LAKE,43.54245,-74.33316
ELM LAKE,41.39914,-74.54801
ELM PARK,40.63149,-74.14875
ELM POINT,40.81649,-73.76124
ELM POND,44.59865,-74.08949
ELM RIDGE,42.30036,-74.18792
ELM RIDGE,44.14645,-75.76521
ELM STREET SCHOOL,43.23507,-76.29437
ELM STREET ELEMENTARY SCHOOL,42.00591,-76.53133
ELM STUMP CHURCH,42.5534,-76.18493
ELM SWAMP,41.92223,-75.14467
ELM TREE,42.15589,-79.47394
ELM TREE ISLAND,44.46283,-75.78191
ELM TREE RIDGE,41.93564,-75.15795
ELM VALLEY,42.15118,-77.85833
ELM VALLEY,42.15229,-77.85944
ELMA,42.85089,-78.6403
ELMA CENTENNIAL PARK,42.82256,-78.58447
ELMA CENTER,42.82978,-78.63614
IROQUOIS INTERMEDIATE SCHOOL,42.83429,-78.60433
TOWN OF ELMA,42.82314,-78.63709
ELMBOIS,42.48424,-77.22998
ELMCREST,43.13312,-76.23576
ELMCREST CHILDRENS CENTER,43.04507,-76.09714
ELMDALE,44.36034,-75.54328
ELMER AVENUE ELEMENTARY SCHOOL,42.81008,-73.92179
ELMER FALLS,43.92701,-75.28824
ELMER FALLS POND,43.92458,-75.28453
ELMER HILL,43.27979,-75.44962
ELMGROVE,43.18173,-77.73167
ELMGROVE CEMETERY,43.17423,-77.73362
ELMGROVE UNITED CHURCH,43.17589,-77.72973
ELMHURST,42.11811,-79.29366
ELMHURST,40.73649,-73.87791
ELMHURST HOSPITAL CENTER,40.74512,-73.88547
ELMIRA,42.0898,-76.80773
ELMIRA COLLEGE,42.09619,-76.81329
ELMIRA COUNTRY CLUB,42.0823,-76.84885
ELMIRA HEIGHTS,42.1298,-76.82079
ELMIRA PSYCHIATRIC CENTER,42.09175,-76.79453
ELMIRA CORRECTIONAL FACILITY,42.11476,-76.82904
ELMIRA RESERVOIR,42.10922,-76.84972
CITY OF ELMIRA,42.0938,-76.8097
TOWN OF ELMIRA,42.09369,-76.77586
ELMIRA/CORNING REGIONAL AIRPORT,42.1598,-76.89107
ELMLAWN CEMETERY,42.99228,-78.86448
ELMONT,40.70094,-73.71291
ELMONT CEMETERY,40.70316,-73.71069
ELMONT ROAD PARK,40.69038,-73.71763
ELMONT ROAD ELEMENTARY SCHOOL,40.70639,-73.71028
ELMSFORD,41.0551,-73.82013
ELMSFORD DISTRIBUTION CENTER,41.06676,-73.82069
ELMSFORD POST OFFICE,41.05471,-73.81988
ELMSMERE,40.92843,-73.82069
ELMWOOD,42.82674,-76.52327
ELMWOOD CEMETERY,42.56897,-73.8029
ELMWOOD CEMETERY,42.73923,-76.14576
ELMWOOD CEMETERY,44.98226,-74.49186
ELMWOOD CEMETERY,42.98923,-78.17252
ELMWOOD CEMETERY,43.81451,-76.02965
ELMWOOD CEMETERY,43.11534,-77.40305
ELMWOOD CEMETERY,42.63869,-73.60706
ELMWOOD CEMETERY,42.90785,-73.59401
ELMWOOD CEMETERY,42.05507,-77.02441
ELMWOOD CEMETERY,43.4334,-73.27594
ELMWOOD CEMETERY,43.07479,-76.9883
ELMWOOD CEMETERY,42.64562,-78.08056
ELMWOOD COUNTRY CLUB,41.03621,-73.8268
ELMWOOD DAY SCHOOL,41.03482,-73.83236
ELMWOOD FRANKLIN SCHOOL,42.94311,-78.86087
ELMWOOD PARK,43.01784,-76.16715
ELMWOOD POINT,42.66618,-76.66661
ELMWOOD ELEMENTARY SCHOOL,43.02016,-76.1604
ELNORA,42.89285,-73.82123
GALWAY COMMUNITY FELLOWSHIP,43.06594,-74.05378
ELPHEE CREEK,43.14757,-74.28152
ELM ISLAND,43.83229,-74.24543
ELRIDGE CEMETERY,43.032,-78.57114
ELSINORE,44.69365,-73.66681
ELSMERE,42.62175,-73.81818
ELSTON HILL,42.27341,-76.58245
ELSTON HOLLOW,42.0823,-76.71634
ELPIS,43.28368,-75.82213
ELTING CORNERS,41.7412,-74.03486
ELTINGVILLE,40.54538,-74.1657
ELTON,42.4509,-78.42891
ELTON CREEK,42.51951,-78.51919
ELSWORTH SCHOOL,41.70037,-73.93319
ELWOOD,40.84538,-73.33512
ELWOOD PARK,40.8501,-73.33651
ELWOOD POINT,44.46839,-75.6294
ELY AIR PARK,43.06653,-77.95539
ELY CREEK,40.79482,-72.82677
ELTON STATION,42.44117,-78.42863
ELY PARK,42.12285,-75.92575
ELY PARK,42.12758,-75.92547
EMANUEL AFRICAN METHODIST EPISCOPAL CHURCH,40.95038,-73.82513
EMANUEL EVANGELICAL LUTHERAN CHURCH (HISTORICAL),40.80732,-73.92069
EMANUEL LUTHERAN CHURCH,41.13898,-73.78569
EMANUEL PENTECOSTAL FAITH TEMPLE,40.9026,-73.83458
EMBURY CORNERS,42.93923,-75.64602
EMERALD LAKE,44.02199,-75.01963
EMERALD ROCK,40.8951,-73.7643
EMERSON,43.10007,-76.61411
EMERSON CREEK,43.68479,-75.22462
ELY MOUNTAIN,43.29257,-74.57542
EMERSON GULF,42.83423,-76.1427
EMERSON HIGH SCHOOL,42.90311,-78.81976
EMERSON HILL,40.60872,-74.09598
EMERSON MIDDLE SCHOOL,40.96315,-73.87791
EMERSON PARK,42.90423,-76.53633
EMERY ISLAND,44.47117,-75.63662
EMERY MINES,41.24454,-73.86847
EMERY PARK,42.7145,-78.5953
EMERYVILLE,44.29506,-75.36743
EMINENCE,42.52535,-74.53542
EMMA WILLARD SCHOOL,42.7123,-73.66373
EMMANUEL UNITED METHODIST CHURCH,42.73356,-78.7178
EMMANUEL CHURCH,42.99283,-78.9656
EMMANUEL SLOVAK EVANGELICAL LUTHERAN CHURCH,40.93232,-73.89291
EMMONS,42.46341,-75.01183
EMMONS BROOK,43.33201,-75.7338
EMERSON HILL,43.00423,-76.70301
EMMONS POND,42.4271,-75.01705
EMMONS SIDING,43.25479,-76.14492
MOUNT EMMONS,44.14367,-74.21405
EMMONSBURG,43.15313,-74.70959
EMORY BROOK,42.15564,-74.53015
EMMONS CEMETERY,42.4298,-75.23628
EMORY CHAPEL,42.00702,-76.48994
EMORY CREEK,40.63038,-73.56707
EMORY PARK,42.11811,-79.23366
EMPEYVILLE,43.39674,-75.68491
EMPIRE BUILDING,40.70732,-74.01236
EMPIRE LAKE,42.17172,-76.42632
EMPIRE STATE BUILDING,40.74871,-73.98597
EN-JOIE PARK,42.09646,-76.04881
ENDEAVOR SHOALS,41.10344,-71.8409
ENDERS ROAD ELEMENTARY SCHOOL,42.99896,-75.95686
ENDERSBEES CORNERS,44.47451,-75.11881
ENDICOTT,42.09841,-76.04937
ENDWELL,42.11285,-76.02103
ENDWELL JUNIOR HIGH SCHOOL,42.13507,-76.02465
ENFIELD,42.43591,-76.63134
ENFIELD CREEK,42.42202,-76.62467
EMORY BROOK,42.55312,-78.15279
ENFIELD GLEN,42.39841,-76.54605
ENFIELD SCHOOL,42.44952,-76.63161
ENGINE CREEK,42.69367,-78.30418
TOWN OF ENFIELD,42.43633,-76.62993
ENGINEERS COUNTRY CLUB,40.82038,-73.64235
ENGLEVILLE,42.75507,-74.64848
ENGLEVILLE POND,42.75698,-74.65227
ENGLISH BROOK,43.43174,-73.70734
ENGINEERS AIRPORT,43.31537,-76.01415
ENGLISH CREEK,42.01006,-78.82531
ENGLISH CHURCH SCHOOL,41.15093,-74.03181
ENGLISH KILLS,40.7151,-73.93042
ENGLISH RIVER,45.21405,-73.83051
ENGLISH HOUSE,40.9251,-73.78652
ENLLI CHURCH,43.35396,-75.12905
ENNERDALE,42.8759,-77.17942
ENNIS CEMETERY,42.24285,-76.62884
ENOS HOLLOW,42.68256,-78.6503
ENRICO FERMI MIDDLE SCHOOL,40.93149,-73.89125
ENSIGN BROOK,43.02702,-73.59012
ENGLISH VILLAGE ELEMENTARY SCHOOL,43.23972,-77.6527
ENTRANCE LIGHT,42.87784,-78.88976
EPHRATAH,43.00091,-74.54236
TOWN OF EPHRATAH,43.04094,-74.55367
EPIPHANY APOSTOLIC COLLEGE (HISTORICAL),41.47843,-74.04903
EPPIE CORNERS,43.00535,-74.47069
EPWORTH CHURCH,41.80926,-74.16792
EQUITABLE BUILDING,40.70844,-74.0107
ERASMUS HALL HIGH SCHOOL,40.64955,-73.95597
EREBUS MOUNTAIN,43.5759,-73.5515
ERIE BASIN,42.88228,-78.88781
ERIE BASIN,40.66871,-74.01542
ERIE CANAL,43.10979,-76.43105
ERIE CANAL STATE PARK,43.07312,-75.92158
ERIE COUNTY,42.75824,-78.77966
ERIE COUNTY FAIRGROUNDS,42.73645,-78.8192
ERIE COUNTY REFORESTATION AREA,42.58256,-78.61697
ERIE COUNTY REFORESTATION AREA,42.64006,-78.46502
ERIE COMMUNITY COLLEGE NORTH CAMPUS,42.9595,-78.72225
ERIE STREET SCHOOL,43.32868,-76.40994
ERIEVILLE,42.85173,-75.75547
ERIN,42.18591,-76.66995
TOWN OF ERIN,42.18439,-76.67269
ERKENBRACK HILL,43.03868,-74.45681
ERMINE BROOK,44.05423,-74.19793
ENSIGN POND,44.03373,-73.60195
ERRICK ROAD SCHOOL,43.09283,-78.88059
ERSKIN HOLLOW,42.17701,-77.62693
ERNIE DAVIS MIDDLE SCHOOL,42.09616,-76.804
ERTS BROOK,41.95148,-74.48793
ERWIN CEMETERY,42.65673,-77.63361
ERWIN CREEK,42.18702,-77.06691
ERWIN HOLLOW,42.17174,-77.1008
ERWIN PARK,43.48396,-75.32628
ERWIN VALLEY ELEMENTARY SCHOOL,42.14818,-77.11079
TOWN OF ERWIN,42.13793,-77.14148
ERWINS CEMETERY,42.1198,-77.13331
ESCARPMENT,43.16867,-79.00671
ESKAR POND,44.14786,-74.91059
ESOPUS,41.82787,-73.96514
ESOPUS CREEK,42.07037,-73.93041
ERWIN POND,42.15742,-77.17086
ESOPUS LAKE,41.87657,-73.96968
ESOPUS MEADOWS LIGHTHOUSE,41.86843,-73.94208
ESOPUS MEADOWS POINT,41.86398,-73.94819
TOWN OF ESOPUS,41.84259,-73.99364
ESPERANCE,42.76119,-74.25652
ESPERANCE STATION,42.74285,-74.26263
TOWN OF ESPERANCE,42.75165,-74.31038
ESSEX,44.31005,-73.35263
ESSEX BOATWORKS SEAPLANE BASE,44.30005,-73.34902
ESSEX CHAIN LAKES,43.87889,-74.2466
ESSEX COUNTY,44.11722,-73.77271
ESSEX FERRY,44.30588,-73.32596
ESSEX STATION,44.30616,-73.39096
TOWN OF ESSEX,44.28359,-73.39847
ESTELLE MOUNTAIN,43.79812,-74.59044
ESTES CEMETERY,44.20144,-73.78042
ESTES JUNIOR HIGH SCHOOL,43.0523,-74.34319
ESTHER MOUNTAIN,44.38699,-73.88987
ESTHER RAUSHENBUSH LIBRARY,40.93417,-73.84417
ESTY GLEN,42.49729,-76.51439
ESOPUS ISLAND,41.82509,-73.94764
ETHAN MOUNTAIN,43.72868,-73.87013
ETNA,42.48507,-76.38355
MOUNT ETNA,44.55171,-73.61708
EUCLID,43.18646,-76.21715
EUCLID AVENUE SCHOOL (HISTORICAL),42.7973,-73.96485
EUCLID SCHOOL,42.10839,-79.2381
EUGENE AND AGNES MEYER NATURE PRESERVE,41.16121,-73.69957
EURICH DITCH,41.29121,-74.45655
EVANGELICAL COVENANT CHURCH,40.92204,-73.7993
EVANGELICAL LUTHERAN CHURCH OF THE REDEEMER (HISTORICAL),40.91954,-73.89736
EVANGOLA STATE PARK,42.60673,-79.10171
EVANS BEACH,42.64173,-79.06754
EVANS CENTER,42.65811,-79.03476
EVANS CORNER,43.02229,-76.76968
EVANS CREEK,43.10424,-74.09013
ESTY POINT,42.49729,-76.51439
EVANS NUMBER 1 SCHOOL,42.68284,-79.01698
HIGHLAND ELEMENTARY SCHOOL,42.70325,-78.97298
EVANS PARK SCHOOL,41.0651,-74.01097
EVANS POND,43.12063,-74.04874
JAMES S EVANS ELEMENTARY SCHOOL,41.58954,-73.91347
TOWN OF EVANS,42.65286,-79.00624
EVAS KILL,42.91702,-74.13707
EVANS MILLS,44.08812,-75.80715
EVELIN HILL CREEK,42.12285,-76.38438
MOUNT EVE,41.30148,-74.4146
EVERGREEN CEMETERY,42.78313,-76.63495
EVERGREEN CEMETERY,42.26922,-79.25782
EVERGREEN CEMETERY,42.36478,-79.48116
EVERGREEN CEMETERY,42.48341,-75.40684
EVERGREEN CEMETERY,44.50921,-73.48513
EVERGREEN CEMETERY,41.98481,-73.6554
EVERGREEN CEMETERY,42.65312,-78.89114
EVERGREEN CEMETERY,42.89756,-78.50169
EVERGREEN CEMETERY,42.77367,-78.53308
EVERGREEN CEMETERY,44.92727,-74.06988
EVERGREEN CEMETERY,42.18287,-74.15236
EVERGREEN CEMETERY,43.81312,-76.11493
EVERGREEN CEMETERY,42.66312,-77.57749
EVERGREEN CEMETERY,42.93229,-75.84019
EVERGREEN CEMETERY,42.95535,-74.41264
EVERGREEN CEMETERY,43.09368,-75.40878
EVERGREEN CEMETERY,43.27424,-75.17989
EVERGREEN CEMETERY,43.29785,-75.4749
EVERGREEN CEMETERY,43.5759,-76.00659
EVERGREEN CEMETERY,42.39286,-75.176
EVERGREEN CEMETERY,42.4798,-74.60876
EVERGREEN CEMETERY,42.11063,-76.26438
EVERGREEN CEMETERY,42.17591,-76.30882
EVERGREEN CEMETERY,42.3223,-76.18187
EVERGREEN CEMETERY,43.16063,-73.34511
EVERGREEN BAPTIST CHURCH,40.85992,-73.4135
EVERGREEN HILL CEMETERY,42.3198,-75.31823
EVERGREEN LAKE,43.39318,-74.62031
EVERGREEN LAKE,43.91834,-75.01595
EVERGREEN LAKE,43.0059,-76.01548
EVERGREEN LAWN CEMETERY,42.51756,-79.14059
EVERGREEN LAWN CEMETERY,43.0295,-78.48475
EVERGREEN MEMORIAL CEMETERY,42.75841,-73.88068
EVERGREEN MOUNTAIN,42.21175,-74.30792
EVERGREEN PARK,40.6976,-73.8968
EVERLEIGH POINT,43.95978,-76.16854
EVERS SEAPLANE BASE,40.84593,-73.81569
EVES POINT,42.11176,-73.92736
EVIES POND,43.77951,-75.27209
EWART CREEK,42.48284,-77.85555
EVENS LAKE,41.76458,-74.65263
EWELLS CORNER,42.83145,-78.1239
EWEN PARK,40.88177,-73.91014
EWING MEMORIAL HOSPITAL (HISTORICAL),40.76455,-73.95708
EXCELL CORNERS,42.77313,-75.45601
EXCELSIOR GLEN,42.39091,-76.85579
EWELL GULF,42.84812,-78.17501
EXCELSIOR SHOALS,44.37172,-75.88357
EXCELSIOR SPRINGS,42.75173,-77.71278
EXECUTION ROCKS,40.87954,-73.73708
EXECUTION ROCKS LIGHTHOUSE,40.87816,-73.73763
EXETER CEMETERY,42.79174,-75.08433
EXETER CORNER,42.78868,-75.0746
TOWN OF EXETER,42.79406,-75.08331
EXTRACT BROOK,43.47451,-74.21652
EXCELSIOR GROUP,44.36866,-75.8869
F E BELLOWS ELEMENTARY SCHOOL,40.95452,-73.72612
F F THOMPSON HOSPITAL,42.87603,-77.29016
F W WOOLWORTH MEMORIAL CEMETERY,44.02757,-75.71603
F AND F AIRPARK,42.45008,-75.01572
FABIUS,42.83507,-75.98603
FABIUS BROOK,42.8009,-75.96103
EYMARD SEMINARY,41.77954,-73.93958
FACTORY BROOK,42.64201,-76.17493
TOWN OF FABIUS,42.82197,-75.9912
FACTORY BROOK,43.19646,-74.99377
FACTORY HOLLOW,42.83758,-73.49345
FACTORYVILLE,43.95172,-73.44151
FAHNESTOCK CORNERS,41.43648,-73.86986
FAHNESTOCK SKI SLOPE,41.47537,-73.81791
FAILING HILL,43.03424,-74.73626
FAIR HARBOR,40.63927,-73.18428
FAIR HAVEN,43.31646,-76.70217
FAIR HAVEN,42.76923,-76.26826
FAIR HAVEN BEACH STATE PARK,43.33065,-76.69707
FAIR OAKS,41.50704,-74.41016
FAIR RIDGE CEMETERY,41.17648,-73.77819
FAIRBANK FARMS AIRPORT,42.08044,-79.39579
FAIRBANKS CORNERS,44.42728,-75.21271
FAIRBANKS POINT,43.29006,-77.14359
FAIRCHILD CEMETERY,43.34562,-75.16128
FAIRCHILDS CORNERS,43.21063,-74.14485
FAIRDALE,43.32368,-76.53883
FAIRFIELD,43.13729,-74.91321
FAIRFIELD,42.23257,-76.27854
FAIRFIELD CEMETERY,43.18617,-77.80112
FAIRFIELD POND,40.91753,-72.26826
FAIRFIELD ELEMENTARY SCHOOL,40.66889,-73.47361
FAIRFIELD STATE FOREST,42.28035,-76.26577
TOWN OF FAIRFIELD,43.12699,-74.92197
FAIRLAND CHURCH,42.5948,-74.50292
FAIRLAWN CEMETERY,42.17618,-77.9775
FAIRLAWN CEMETERY,42.32481,-74.43931
FAIRMONT CEMETERY,43.25673,-76.72162
FAIRMOUNT,43.04729,-76.23854
FAIRMOUNT CEMETERY,43.09589,-78.86698
FAIRMOUNT SCHOOL (HISTORICAL),42.09672,-79.2606
FAIRMOUNT SCHOOL,43.04534,-76.24826
FAIRPORT,43.09867,-77.44194
FAIRPORT HIGH SCHOOL,43.08145,-77.41499
FAIRPORT RESERVOIRS,42.93491,-77.43347
FAIRVIEW,42.43673,-78.30835
FAIRVIEW,41.7237,-73.91986
FAIRVIEW,41.04343,-73.79736
FAIRVIEW,42.67951,-78.0364
FAIRVIEW CEMETERY,42.70785,-73.99763
FAIRVIEW CEMETERY,41.51037,-73.94236
FAIRVIEW CEMETERY,42.53117,-78.67086
FAIRVIEW CEMETERY,43.94561,-73.46429
FAIRVIEW CEMETERY,44.33588,-73.55736
FAIRVIEW CEMETERY,44.44644,-73.66958
FAIRVIEW CEMETERY,44.71978,-74.55962
FAIRVIEW CEMETERY,43.05424,-74.87987
FAIRVIEW CEMETERY,43.83868,-75.91881
FAIRVIEW CEMETERY,43.9759,-75.59686
FAIRVIEW CEMETERY,43.85146,-75.5188
FAIRVIEW CEMETERY,43.88868,-75.66714
FAIRVIEW CEMETERY,42.92146,-75.57851
FAIRVIEW CEMETERY,42.95785,-74.21958
FAIRVIEW CEMETERY,42.90507,-75.24405
FAIRVIEW CEMETERY,43.38562,-76.45049
FAIRVIEW CEMETERY,43.42174,-75.88936
FAIRVIEW CEMETERY,40.61094,-74.12514
FAIRMOUNT CEMETERY,43.05146,-73.62234
FAIRVIEW CEMETERY,44.32534,-75.25826
FAIRVIEW CEMETERY,44.81116,-74.77714
FAIRVIEW CEMETERY,44.63756,-74.81742
FAIRVIEW CEMETERY,44.58006,-75.16854
FAIRVIEW CEMETERY,42.03007,-77.14331
FAIRVIEW CEMETERY,42.17146,-77.09914
FAIRVIEW CEMETERY,41.84759,-74.15487
FAIRVIEW CEMETERY,42.83562,-78.37891
FAIRVIEW CORNERS,43.16813,-74.77821
FAIRVIEW COUNTRY CLUB,41.0701,-73.81736
FAIRVILLE,43.11701,-77.07914
FAIRVILLE STATION,43.1059,-77.06081
FAIRWEATHER CORNERS,43.0173,-74.05374
FAIRY LADDER FALLS,44.09978,-73.82069
FAIRYLAND ISLAND,44.35977,-75.92023
FAITH BAPTIST CHURCH,40.8601,-72.97955
FAITH CHAPEL,42.73479,-76.65522
FAITH LUTHERAN CHURCH,42.80434,-78.63729
FAITH CHURCH,43.15423,-77.49805
FAITH LUTHERAN CHURCH,43.17585,-76.09602
FAITH TEMPLE CHURCH OF GOD,40.91732,-73.79152
FAIVIEW CEMETERY,43.25951,-74.96877
FALCON MANOR,43.12589,-78.9506
FALCONER,42.11867,-79.19838
FALCONER PARK,42.11756,-79.2056
FALKNER PARK,43.25144,-79.04866
FALL BROOK,42.83201,-76.34438
FACTORY VILLAGE,43.02591,-73.86651
FALL BROOK,44.64893,-73.83598
FALL BROOK,42.34786,-74.46293
FALL BROOK,43.49674,-75.71435
FALL BROOK,43.5484,-75.32212
FALL BROOK,42.77978,-77.84056
FALL BROOK,43.3484,-75.58324
FALL BROOK,41.51537,-74.57877
FALL BROOK,41.91842,-74.67071
FALL BROOK,41.95009,-74.56793
FALL CLOVE,42.11509,-74.89099
FALL CREEK,42.35675,-74.13097
FALL CREEK,42.2359,-77.60693
FALL CREEK,42.46007,-76.50994
FALL CREEK ELEMENTARY SCHOOL,42.45081,-76.49564
FALL KILL,41.70926,-73.94042
FALL KILL,42.01259,-73.73652
FALL STREAM,43.44174,-74.52237
FALL LAKE,43.45451,-74.50209
FALLBROOK POINT,42.83229,-76.34521
FALLENTREE KILL,42.9323,-74.01846
FALLEN HIGH SCHOOL,42.90311,-78.8692
FALLS BROOK,43.80451,-73.94597
FALLS BROOK,44.21672,-73.63819
FALLS BROOK,44.34394,-73.96265
FALLS BROOK,43.65645,-74.3846
FALLS CREEK,42.29897,-74.90155
FALLS LAKE,43.93584,-74.88095
FALLS POND,43.63093,-74.68556
FALLS POND OUTLET,43.65312,-74.68433
FALLS MILLS,41.73092,-74.98211
FALLSBURG,41.73204,-74.60127
FALLSBURG CREEK,41.87843,-73.9243
THE FALLS,44.07783,-73.83208
FALSE CHANNEL,40.62344,-73.55957
FALSE CHANNEL MEADOW,40.62732,-73.55402
FALSE POINT,41.07732,-71.86646
FAMILY COURT CITY OF NEW YORK,40.71649,-74.00236
FAMILY SCHOOL 32,40.96344,-73.84335
FAN HILL,42.45813,-74.68571
FANCHER,43.24478,-78.09113
FANCY TRACT,42.34673,-78.58419
FANEUIL PARK,40.91399,-73.77347
FANNING POINT,41.09204,-72.36481
FANTINE CEMETERY,41.7287,-74.38765
FANTINE KILL,41.72426,-74.3796
TOWN OF FALLSBURG,41.73908,-74.60377
FAR POND,40.87899,-72.4537
FAR ROCKAWAY,40.60538,-73.75513
FARGO,44.03396,-75.58214
FARLEY CORNERS,43.33618,-76.33049
FARLEYS,42.81812,-76.69967
FARLEYS POINT,42.82062,-76.70995
FARM SHOALS,40.64149,-73.21289
FARMERS CORNER,43.5509,-76.12687
FARMERS HILL,42.18842,-74.74016
FARMERS MILLS,43.02368,-75.39739
FARMERS MILLS,41.49565,-73.7393
FARMERS VLY,43.45813,-74.67793
FARMERSVILLE,42.38756,-78.37613
FARMERSVILLE STATION,42.42756,-78.36085
TOWN OF FARMERSVILLE,42.39287,-78.38649
FARMINGDALE,40.7326,-73.4454
FARMINGDALE,41.40037,-74.23626
FARMINGDALE HIGH SCHOOL,40.7076,-73.44401
FARMINGTON,43.03201,-77.33221
FARMINGTON,42.98367,-77.32582
TOWN OF FARMINGTON,42.98946,-77.30868
FARMINGVILLE,40.83121,-73.02955
FARMINGVILLE-HOLTSVILLE CHURCH,40.83677,-73.05011
FARNHAM,42.5945,-79.09115
FARNHAM POINT,42.60284,-79.11921
FARNSWORTHS AIR STRIP,43.19173,-76.88385
FARREL CORNER,43.17118,-75.07155
FARRELL BROOK,44.81587,-73.51097
FANTINEKILL,41.80204,-74.30459
FARRELL HILL,41.43454,-73.5854
FARRINGTON BROOK,44.87894,-74.55074
FARRELL HALL,40.88593,-73.90208
FARWELL HOLLOW,42.22173,-78.37946
FASSETT ELEMENTARY SCHOOL,42.11222,-76.82272
FAULKNER CEMETERY,42.83368,-75.41462
FAULKNER PONDS,43.27208,-75.74362
FAUN LAKE,42.64451,-78.28779
FAWN LAKE,42.5621,-74.16782
FAWN LAKE,43.48904,-74.4547
FAWN LAKE,43.71519,-74.77273
FAWN LAKE MOUNTAIN,43.70868,-74.77989
FAWN LAKE VLY,43.50646,-74.46237
FAXONS POND,43.65559,-73.81213
FAXTON - SAINT LUKE'S HEALTHCARE,43.09632,-75.27666
FAY,44.89282,-74.34268
FAY BROOK,44.36866,-74.18516
FATIMA CHURCH,40.99676,-73.66402
FAY HOLLOW,42.1484,-78.4053
MARTIN J FAY MEMORIAL PARK,40.91482,-73.90375
FAYERWEATHER CEMETERY,41.75176,-74.87766
FAYETTE,42.81424,-76.80912
TOWN OF FAYETTE,42.84628,-76.84961
FAYETTEVILLE,43.02979,-76.00436
